Date,Narration,Reference,ValueDt,Debit,Credit,Balance
05/11/23,UPI-RITESH PRAMOD NAIK-9082420525@YBL-HDFC0000239-330901505612-PAYMENT FROM PHONE,0000330901505612,05/11/23,,15000,15286.58
05/11/23,UPI-ROY NIKHILKUMAR M-NIKHILROY782@OKHDFCBANK-KKBK0002869-330914542377-UPI,0000330914542377,,9000,,6286.58
06/11/23,POS 541919XXXXXX4482 LINKEDIN PRE 888,0000000000747549,06/11/23,3926.86,,2359.72
07/11/23,NEFT CR-ICIC0099999-NEXTBILLION TECHNOLOGY PRIVATE LIMITED CLIENT ACCO-SANDESH MANKAR-CMS3692548586,000CMS3692548586,07/11/23,,333.17,2692.89
09/11/23,UPI-SANKET SUDHIR GADHAV-SANKET.GADHAVE2001-3@OKSBI-INDB0000099-331364225962-UPI,0000331364225962,09/11/23,1500,,1192.89
16/11/23,UPI-EURONETGPAY-EURONETGPAY.POSTPAID-MOBILE@ICICI-ICIC0DC0099-332024653373-UPI,0000332024653373,16/11/23,588.82,,604.07
26/11/23,IMPS-333017406407-LESSONBOARD EDU SOLU-ICIC-XXXXXXXX0393-WEBSITEMAINTAIN,0000333017406407,26/11/23,,3750,4354.07
26/11/23,UPI-NETFLIX COM-NETFLIXUPI.PAYU@HDFCBANK-HDFC0000499-333053780285-MONTHLY AUTOPAY. C,0000333053780285,26/11/23,649,,3705.07
28/11/23,POS 541919XXXXXX4482 KOMPANION,0000000000417762,28/11/23,1252.74,,2452.33
29/11/23,.DC INTL POS TXN MARKUP+ST 061123 071123-MIR2433196141027,MIR2433196141027,29/11/23,162.18,,2290.15
30/11/23,ACH C- OIL AND NATURAL GAS-853864,0000008079686248,30/11/23,,29,2319.15
01/12/23,UPI-KATHAD NARESH-NARESHKATHAD005-1@OKICICI-ICIC0000047-333544699264-UPI,0000333544699264,01/12/23,,15000,17319.15
01/12/23,UPI-RITESH PRAMOD NAIK-RITESHNAIKCG11@OKHDFCBANK-HDFC0000239-333519457465-FACEBOOK STREAM,0000333519457465,01/12/23,17000,,319.15
16/12/23,.DC INTL POS TXN MARKUP+ST 281123 301123-MIR2434940199128,MIR2434940199128,16/12/23,51.75,,267.4
25/12/23,UPI-GONDECHA NIRAV MUKES-NIRAV.GONDECHA8@IBL-UTIB0000336-335987474263-PAYMENT FROM PHONE,0000335987474263,25/12/23,,34000,34267.4
25/12/23,UPI-NA-NA-HDFC0004417-372557490819-UPI,0000372557490819,25/12/23,1400,,32867.4
25/12/23,UPI-SACHIN SHIVAJI MANKA-MANKARSACHIN18@OKICICI-ICIC0006990-335977254926-DECEMBER 2023,0000335977254926,25/12/23,30000,,2867.4
25/12/23,UPI-FLIPKART PAYMENTS-PAYTM-56505013@PAYTM-PYTM0123456-335939330569-OIDPZT2312251839UB,0000335939330569,25/12/23,1470,,1397.4
26/12/23,.POS DECCHG 06/12/23 CARDEND 4482 071223-MIR2435661163895,MIR2435661163895,26/12/23,29.5,,1367.9
26/12/23,.POS DECCHG 07/12/23 CARDEND 4482 081223-MIR2435662379628,MIR2435662379628,26/12/23,29.5,,1338.4
26/12/23,.POS DECCHG 08/12/23 CARDEND 4482 091223-MIR2435763424988,MIR2435763424988,26/12/23,29.5,,1308.9
